,Ref_x,Subject,Locale_processed
953110,8836481,CAFES MERLING GESTION,FRA
953116,8836487,CAFEJ 17,FRA
953119,8836490,CAELIMP,FRA
953130,8836501,CADENE PARTICIPATIONS,FRA
953134,8836505,CAD,FRA
953136,8836507,CACHAREL,FRA
953138,8836509,CAC59,FRA
953144,8836515,CABLERIE LAPP SARL,FRA
953145,8836516,CABLERIE DAUMESNIL,FRA
953149,8836520,CABINET LAMY LEXEL,FRA
953150,8836521,CABINET JOURDAN,FRA
953151,8836522,CABINET JACQUEMET,FRA
953152,8836523,CABINET GERMAIN ET MAUREAU,FRA
953153,8836524,CABINET GAXIEU,FRA
953154,8836525,CABINET FLAMENT ET ASSOCIES,FRA
953155,8836526,CABINET DIDIER MARTIN-CDM,FRA
953156,8836527,CABINET DELEVAL,FRA
953158,8836529,CABINET BECKER & ASSOCIES,FRA
953159,8836530,CABIN EQUIPMENT SOLUTIONS,FRA
953161,8836532,CABESTAN FINANCES,FRA
953164,8836535,CABANNES SAS,FRA
953167,8836538,"CAB 5-4 GROUPE ""BLACK CROWS""",FRA
953173,8836544,C4M,FRA
953175,8836546,C3M INNOVATION,FRA
953176,8836547,C3D LAROCHE SARL,FRA
953177,8836548,C3A COURTAGE,FRA
953179,8836550,C2TEC CONTRECOLLAGES,FRA
953182,8836553,C2L MANAGEMENT,FRA
953183,8836554,C2D,FRA
953186,8836557,C.T.N. GROUPE,FRA
953189,8836560,C.S.Y. HOLDING,FRA
953208,8836579,C.N.I.P.T.,FRA
953209,8836580,C.N.E.,FRA
953212,8836583,C.MARTIN FINANCES SARL HOLDING,FRA
953215,8836586,C.M.S.E.A COMITÉ MOSELLAN DE SAUVEGARDE DE LENFANCE DE LADOLESCENCE ET DES ADULTES,FRA
953235,8836606,C.G.P.A.,FRA
953237,8836608,C.F.C. - CHAMBARAND FAIENCE CARRELAGE,FRA
953238,8836609,C.F.C DÉVELOPPEMENT,FRA
953244,8836615,C.D.G.,FRA
953249,8836620,C.B.A INFORMATIQUE LIBERALE,FRA
953274,8836645,C&C FRANCE,FRA
953283,8836654,C O R A  SASU,FRA
953287,8836658,C M E G,FRA
953291,8836662,C INVEST HOLDING TANT POUR SON COMPTE QUECELUI DE SMALT CAPITAL,FRA
953293,8836664,C I E M T N,FRA
953297,8836668,C E SA HLM PIERRES ET LUMIERES,FRA
953303,8836674,C A H P P,FRA
953320,8836691,BY M SARL,FRA
953334,8836705,BVS GROUP,FRA
953335,8836706,BVMC FINANCE,FRA
953370,8836741,BUSINESS DEVELOPMENT AND FINANCING,FRA
953447,8836818,BURGER ET CIE,FRA
953450,8836821,BURG VINAIGRES,FRA
953459,8836830,BUREAU SHOP AGISSANT TANT POUR SON COMPTE QUE POURCELUI DE GDB,FRA
953461,8836832,BUREAU NLLES TECHNOL PROTECT HABITAT,FRA
953462,8836833,BUREAU INTERNAT CONTAINER TRANSP INTERMO,FRA
953464,8836835,BUREAU ETUDE OUTILLAGE MECANIQ GENERALE,FRA
953465,8836836,BUREAU BETAK PARIS,FRA
953482,8836853,BUNSHA INTERNATIONAL,FRA
953497,8836868,BUMP,FRA
953499,8836870,BULOC NEW CO,FRA
953521,8836892,BUKI FRANCE,FRA
953538,8836909,BUILDERS ECOLE DINGÉNIEURS,FRA
953543,8836914,BUHLER WEST AUTOMOBILES,FRA
953545,8836916,BUGEYMAT,FRA
953546,8836917,BUGATTI AUTOMOBILES S.A.S,FRA
953550,8836921,BUFFET CRAMPON,FRA
953551,8836922,BUFFARD S.A.S.,FRA
953567,8836938,BUCOLICAMP,FRA
953593,8836964,BTP VAUCLUSE SERVICES,FRA
953594,8836965,BTP INITIATIVES RHONE ALPES,FRA
953595,8836966,BTP DU BALCON EST,FRA
953597,8836968,BTM SARL,FRA
953615,8836986,BST DEMENAGEMENTS,FRA
953617,8836988,BSRV GROUPE,FRA
953661,8837032,BRUNNER,FRA
953663,8837034,BRUNET DEBAINES,FRA
953670,8837041,BRUEGGEN FRANCE SNC,FRA
953674,8837045,BRUANT PROJETS,FRA
953678,8837049,BROWNFIELDS IMMOBILIER,FRA
953680,8837051,BROWN & MAY MARINE FRANCE,FRA
953737,8837108,BROCHARD SAS,FRA
953759,8837130,BRIZARD SMP SA,FRA
953810,8837181,BRIOTTET,FRA
953825,8837196,BRILIDIS AGISSANT TANT POUR SON COMPTE QUE POUR CELUI DE SAS CHATEAULIN DISTRIBUTION ET SAS GUILVEZ,FRA
953832,8837203,BRIGHTHEART,FRA
953866,8837237,BRICQUEVILLE,FRA
953868,8837239,BRICO ST AFF,FRA
953883,8837254,BRETAGNE ANTI-ADHÉRENCE,FRA
953884,8837255,BRESSALU,FRA
953893,8837264,BRENADIS AGISSANT TANT POUR SON COMPTE QUE POUR LECOMPTE DE SCI KYBRENN,FRA
953895,8837266,Bremaud Eurl,FRA
953898,8837269,BREIZH COOKING,FRA
953933,8837304,BRAUN TP,FRA
953934,8837305,BRAUN ETANCHEITE,FRA
953937,8837308,BRAULENE,FRA
953942,8837313,BRASSERIE SAINTE CRU,FRA
953943,8837314,BRASSERIE MAURO,FRA
953944,8837315,BRASSERIE LICORNE,FRA
953945,8837316,BRASSERIE DES CIMES,FRA
953946,8837317,BRASSERIE DE VAUCELLES,FRA
953947,8837318,BRASSERIE 3 MONTS,FRA
953950,8837321,BRANGER GESTION ADMISTRATION,FRA
953955,8837326,BRANDMEYER MACONNERIE EQUIPEMENTS,FRA
953980,8837351,BRAKSON,FRA
953985,8837356,BRAINEET,FRA
954007,8837378,BRACHET COMTET,FRA
954019,8837390,BPM FINANCES,FRA
954022,8837393,BPCE SA,FRA
954023,8837394,Bpa Concept,FRA
954025,8837396,BP CONSTRUCTION,FRA
954030,8837401,FIRALP,FRA
954031,8837402,FIPSO SCA,FRA
954035,8837406,FINULAG,FRA
954056,8837427,FINOB,FRA
954067,8837438,FININTEC,FRA
954068,8837439,FINILIOS,FRA
954076,8837447,FINERGY,FRA
954097,8837468,FINAXY HOLDING,FRA
954104,8837475,FINASTAR,FRA
954106,8837477,FINASPARKS POUR LE COMPTE DE SES FILIALES,FRA
954110,8837481,FINAPAR,FRA
954111,8837482,FINAPAL ET SES FILIALES,FRA
954116,8837487,FINANSOD,FRA
954119,8837490,FINANSCOR AGISSANT TANT POUR SON COMPTE QU,FRA
954121,8837492,FINANCIERE ZADIG,FRA
954122,8837493,FINANCIERE VH POUR SON PROPRE COMPTE ET LE COMPTEDE VH HOLDING,FRA
954123,8837494,FINANCIÈRE VENDÔME II,FRA
954124,8837495,FINANCIÈRE VENDÔME II,FRA
954125,8837496,FINANCIERE TREZIROISE TANT POUR SON COMPTE QUE POUR CELUI DE HUMEAU DÉVELOPPEMENT ET LABORATOIRES HU,FRA
954126,8837497,FINANCIERE TOURNIER,FRA
954127,8837498,FINANCIERE TM2B,FRA
954128,8837499,FINANCIERE TISSERAY,FRA
954129,8837500,FINANCIÈRE TIEPOLO,FRA
954130,8837501,FINANCIERE THEROND,FRA
954131,8837502,FINANCIÈRE TARTAR,FRA
954132,8837503,FINANCIERE STEPHANE PAYE,FRA
954133,8837504,FINANCIERE STEEP,FRA
954134,8837505,FINANCIERE SOTHOGAM,FRA
954135,8837506,"FINANCIERE SKILYNX TANT POUR SON COMPTE QUE POUR CELUI DE SES FILIALES, DE VUARNET MANCO ET DE LYNX",FRA
954136,8837507,FINANCIERE SCATLER,FRA
954137,8837508,FINANCIERE SAINT LUNAIRE,FRA
954138,8837509,FINANCIERE SAINT GERMAIN,FRA
954139,8837510,FINANCIERE SAFADI,FRA
954140,8837511,FINANCIERE S2R,FRA
954141,8837512,FINANCIERE ROMANA,FRA
954142,8837513,FINANCIERE RJM,FRA
954143,8837514,FINANCIERE RELAIS INDUSTRIE,FRA
954144,8837515,FINANCIERE REDSPHER,FRA
954145,8837516,FINANCIERE PTE,FRA
954146,8837517,FINANCIERE PRINTPACKLABEL,FRA
954147,8837518,FINANCIERE PRADEROI,FRA
954148,8837519,FINANCIERE POCH,FRA
954149,8837520,FINANCIERE PLACE DU CAPITAINE DREYFUS,FRA
954150,8837521,FINANCIERE PICHET,FRA
954151,8837522,FINANCIERE PERROTTON,FRA
954152,8837523,FINANCIERE PATRELLE,FRA
954153,8837524,FINANCIERE PASSAGE,FRA
954154,8837525,FINANCIERE ODYSSEE AGISSANT TANT POUR SON COMPTE QUE POUR CELUI DE GUILERS DIS,FRA
954155,8837526,FINANCIERE MPS,FRA
954156,8837527,FINANCIERE MONTEAU,FRA
954157,8837528,FINANCIERE MINH CAM,FRA
954158,8837529,FINANCIERE MERCIER,FRA
954159,8837530,FINANCIERE MENUIS CHARPENTE ORVALTAISE,FRA
954160,8837531,FINANCIERE MABILLON,FRA
954161,8837532,FINANCIERE M B F,FRA
954162,8837533,FINANCIERE LYS,FRA
954163,8837534,FINANCIERE LYRA,FRA
954164,8837535,FINANCIERE LESLION,FRA
954165,8837536,FINANCIERE LESIMPLE,FRA
954166,8837537,FINANCIERE LEFEBVRE,FRA
954167,8837538,FINANCIERE JACQUET 2014,FRA
954168,8837539,FINANCIERE JACQ HENRIO,FRA
954169,8837540,FINANCIERE ITAMA,FRA
954170,8837541,FINANCIERE ISTRA ET SES FILIALES,FRA
954171,8837542,FINANCIERE HEIMBURGER,FRA
954172,8837543,FINANCIERE HAAG,FRA
954173,8837544,FINANCIERE GROSFILLEX,FRA
954174,8837545,FINANCIERE GIBON,FRA
954175,8837546,FINANCIERE GESTION PRIVEE,FRA
954176,8837547,FINANCIERE GEM INDUSTRIE SARL,FRA
954177,8837548,FINANCIÈRE GC,FRA
954178,8837549,FINANCIERE GAP,FRA
954179,8837550,FINANCIERE GALLET,FRA
954180,8837551,FINANCIERE FRIEDLAND,FRA
954181,8837552,FINANCIERE FRANCOIS CHARDINY,FRA
954182,8837553,FINANCIERE FOUCAULT,FRA
954183,8837554,FINANCIERE FORUM,FRA
954184,8837555,FINANCIERE FLOROM,FRA
954185,8837556,FINANCIERE FLORE,FRA
954186,8837557,FINANCIERE FISCHER,FRA
954187,8837558,FINANCIERE FASSIER SARL,FRA
954188,8837559,FINANCIERE FARADAY,FRA
954189,8837560,FINANCIERE EVS,FRA
954190,8837561,FINANCIERE EVENS HOLDING,FRA
954191,8837562,FINANCIERE EUROPE MULTITECHNIQUES SERVICES,FRA
954192,8837563,FINANCIERE ERJO,FRA
954193,8837564,FINANCIERE ELVA,FRA
954194,8837565,FINANCIERE ELECTRO,FRA
954195,8837566,Financiere Duivon,FRA
954196,8837567,FINANCIERE DUCARROZ,FRA
954197,8837568,FINANCIERE DU SEREIN,FRA
954198,8837569,FINANCIERE DU PORT,FRA
954199,8837570,FINANCIERE DU MANEGUEN,FRA
954200,8837571,FINANCIERE DU LIGNON,FRA
954201,8837572,FINANCIERE DU GRAND COMPTOIR,FRA
954202,8837573,FINANCIERE DU DEMENAGEMENT,FRA
954203,8837574,FINANCIERE DU CORMIER,FRA
954204,8837575,FINANCIERE DU CHATELET,FRA
954205,8837576,Financière DRUMEL,FRA
954206,8837577,FINANCIERE DHENIN,FRA
954207,8837578,FINANCIERE DEVELOPPEMENT,FRA
954208,8837579,FINANCIERE DESTOMBES,FRA
954209,8837580,FINANCIERE DE LOBIOU,FRA
954210,8837581,FINANCIERE DE LECLOSION,FRA
954211,8837582,FINANCIERE DE LA MACHE,FRA
954212,8837583,FINANCIERE DE LA CHARSIE,FRA
954213,8837584,FINANCIERE DE L ORANGERIE,FRA
954214,8837585,FINANCIERE DE L ERDRE ET DU YON,FRA
954215,8837586,FINANCIERE DE L ELNON,FRA
954216,8837587,FINANCIERE DE JERICHO,FRA
954217,8837588,FINANCIERE DE HAUGUEL SARL,FRA
954218,8837589,FINANCIERE DE COELHO,FRA
954219,8837590,FINANCIÈRE DARS,FRA
954220,8837591,FINANCIERE DAMNEVILLE,FRA
954221,8837592,FINANCIÈRE D IMPRESSION ET DE CARTONNAGES SAS,FRA
954222,8837593,FINANCIERE CLAIRAC,FRA
954223,8837594,FINANCIERE CHRISTIAN MOUEIX,FRA
954224,8837595,FINANCIERE CHANEL,FRA
954225,8837596,FINANCIERE CH,FRA
954226,8837597,FINANCIERE CELEC 2,FRA
954227,8837598,FINANCIERE CCE,FRA
954228,8837599,FINANCIERE C.V.L.,FRA
954229,8837600,FINANCIERE C 10,FRA
954230,8837601,FINANCIÈRE BONPOINT,FRA
954231,8837602,FINANCIERE BIGMAT,FRA
954232,8837603,FINANCIERE BHP,FRA
954233,8837604,FINANCIERE BCB,FRA
954234,8837605,FINANCIERE ATLANTIQUE,FRA
954235,8837606,FINANCIERE ANJAC 2,FRA
954236,8837607,FINANCIERE ACP,FRA
954245,8837616,FINANCIAL STRATEGY S.A.M.,FRA
954254,8837625,FINANCE IMMOBILIER CONSEIL,FRA
954255,8837626,FINAN 6,FRA
954256,8837627,FINAMBROISE,FRA
954258,8837629,FINAMAS SAS,FRA
954260,8837631,FINALTRA AGISSANT TANT POUR SON COMPTE QUE POUR CE,FRA
954261,8837632,FINALP SAS,FRA
954265,8837636,FINACCA CAPITAL DEVELOPPEMENT,FRA
954271,8837642,FIMMESO SAS,FRA
954272,8837643,FIMMER SAS,FRA
954275,8837646,FIMAT,FRA
954276,8837647,FIMAR,FRA
954277,8837648,FIMALEG,FRA
954278,8837649,FIMADEV,FRA
954288,8837659,FILIPE L BTP,FRA
954292,8837663,FILIEN ECOUTE ADMR,FRA
954293,8837664,FILICAR,FRA
954300,8837671,FILA,FRA
954309,8837680,FIGOO AGISSANT TANT POUR SON COMPTE QUE POUR CELUIDE SMP TECHNIK,FRA
954311,8837682,FIGEDIS DEVELOPPEMENT,FRA
954312,8837683,FIGEAC AERO,FRA
954318,8837689,FIFB,FRA
954339,8837710,FIDUGO & ASSOCIES,FRA
954340,8837711,FIDUCIAL PRIVATE SECURITY EN ABREGE FIDUCIAL SECURITE,FRA
954341,8837712,FIDUCIAL GÉRANCE,FRA
954342,8837713,FIDUCIAIRE RHENANE DAUDIT ET DE COMPTABILITE,FRA
954343,8837714,FIDUCIAIRE DU BAS-RHIN,FRA
954345,8837716,FIDEV,FRA
954352,8837723,FIDAY GESTION,FRA
954357,8837728,FICIME,FRA
954358,8837729,FICHAND,FRA
954362,8837733,FIBROLINE SA,FRA
954367,8837738,FIBINVEST SAS,FRA
954379,8837750,FI.BU,FRA
954382,8837753,FGLMR FEDERATION GIRONDINE DE LUTTE CONTRE LES MALADIES RESPIRATOIRES,FRA
954383,8837754,FGH SARL,FRA
954384,8837755,FFP HOLDING SAS,FRA
954386,8837757,FFDAI - FÉDÉRATION FRANÇAISE DES DISTRIBUTEURS D AUTOMOBILES INDEPENDANTS,FRA
954387,8837758,FFC FÉDÉRATION FRANÇAISE DE LA CHAUSSURE,FRA
954389,8837760,FFB GRAND EST,FRA
954394,8837765,FEUTRIE,FRA
954411,8837782,FERROCAMPUS,FRA
954424,8837795,FERREIRA SAS,FRA
954425,8837796,FERREIRA ENTREPRISE,FRA
954427,8837798,FERRE DISTRIBUTION INDUSTRIELLE,FRA
954437,8837808,FERRAND SARL,FRA
954462,8837833,FERMETURES INDUSTRIELLES FLON,FRA
954464,8837835,FERMENTALG,FRA
954465,8837836,FERME DE LA TREMBLAYE,FRA
954466,8837837,FERME DE BISSY EARL,FRA
954475,8837846,FEREC RECYCLAGE,FRA
954476,8837847,FERDINAND BILSTEIN FRANCE,FRA
954479,8837850,FERALCO,FRA
954480,8837851,FEP GRAND EST,FRA
954505,8837876,FELOR EXPANSION,FRA
954511,8837882,FELISAZ,FRA
954521,8837892,FEELING,FRA
954523,8837894,FEEL EXPERIENCE,FRA
954524,8837895,FEEDBACK INVEST,FRA
954549,8837920,FEDERATION REGIONALE DE LA CHASSE DU NORD PAS DE CALAIS AGISSANT TANT POUR SON COMPTE QUE POUR LE CO,FRA
954553,8837924,FEDERATION NATIONALE DES TRANSPORTS DES VOYAGEURS,FRA
954554,8837925,FEDERATION NATIONALE DES CINEMAS FRANCAIS,FRA
954555,8837926,FEDERATION NATIONALE DE LA CONSTRUCTION CFE CGC,FRA
954556,8837927,FÉDÉRATION MÉDICO-SOCIALE DES VOSGES,FRA
954557,8837928,FEDERATION HABITAT ET HUMANISME,FRA
954559,8837930,FÉDÉRATION FRANCOPHONE DE CANCEROLOGIE DIGESTIVE FFCD,FRA
954560,8837931,FEDERATION FRANCAISE M.V.C.G - MILITARY VEHICLE CONSERVATION GROUP FRANCE,FRA
954561,8837932,FEDERATION FRANCAISE DES CAPTIVES DENTREPRISE,FRA
954562,8837933,FEDERATION FRANCAISE DE SKI,FRA
954563,8837934,FÉDÉRATION FRANÇAISE DE JOUTE ET SAUVETAGE,FRA
954564,8837935,FEDERATION FRANCAISE BATIMENT AUVERGNE RHONE ALPES,FRA
954565,8837936,FEDERATION FAPES AGISSANT TANTPOUR SON COMPTE QUE POUR CELUI,FRA
954566,8837937,FEDERATION DU NEGOCE AGRICOLE TANT POUR SON COMPTEQUE POUR CELUI DE SA NEGOCE EXPANSION,FRA
954567,8837938,FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DE VAUCLUSE,FRA
954568,8837939,FÉDÉRATION DES MUTUELLES DE FRANCE,FRA
954569,8837940,FEDERATION DES LANDES POUR LA PECHE,FRA
954570,8837941,FEDERATION DES INDUSTRIES MECANIQUES AGISSANT TANTPOUR SON COMPTE QUE POUR CELUI DE PROMECA ET AGMM,FRA
954571,8837942,FEDERATION DES ENSEIGNES DE L HABILLEMENT,FRA
954572,8837943,FEDERATION DES CHASSEURS DU CHER,FRA
954573,8837944,FEDERATION DES CHASSEURS DEURE ET LOIR,FRA
954574,8837945,FEDERATION DES CHASSEURS DE LOIR ET CHER,FRA
954575,8837946,FÉDÉRATION DÉPARTEMENTALE DES CHASSEURS DE LA NIÈVch,FRA
954576,8837947,FEDERATION DEP ENTREP. ARTISANS DU BAT,FRA
954577,8837948,FEDERATION DEP DES CHASSEURS DU LOIRET,FRA
954578,8837949,FEDERATION DE CHARITE CARITAS ALSACE,FRA
954579,8837950,FEDERATION BATIMENT TRAVAUX PUBLICS DROME ARDECHE,FRA
954580,8837951,FÉDÉRATION ADMR DES HAUTES ALPES,FRA
954581,8837952,FEDERATION ADMR DE L#INDRE,FRA
954600,8837971,FEDER DEPART CHASSEURS DE LA CORREZE,FRA
954601,8837972,FEDER ARTISAN PETITE ENTR BAT,FRA
954603,8837974,FEALINX,FRA
954606,8837977,FDM SAS FINANCIERE DE DEVELOPPEMENT LE MARSEILLOIS,FRA
954609,8837980,FDH,FRA
954610,8837981,FDG MANAGERS,FRA
954615,8837986,FD CAPITAL,FRA
954617,8837988,FCP INVEST,FRA
954619,8837990,FCNS,FRA
954620,8837991,FCMA,FRA
954621,8837992,FCGL,FRA
954627,8837998,FC CONSULTING,FRA
954631,8838002,FBD INTERNATIONAL,FRA
954632,8838003,FB2M,FRA
954634,8838005,FB PARTNERS ET RS HOLDING AGISSANT TANT POUR LEURCOMPTE QUE POUR CHRISTIAN MODULES,FRA
954635,8838006,FB FINANCE,FRA
954641,8838012,FAVRE DANNE,FRA
954643,8838014,FAVID,FRA
954648,8838019,FAURE TRUCKS,FRA
954649,8838020,FAURE STOCKAGE,FRA
954650,8838021,FAURE LE PAGE MAROQUINIER,FRA
954651,8838022,FAURE IMMOBILIER,FRA
954652,8838023,FAURE ACTIONS,FRA
954658,8838029,FAUCOEUR INVESTISSEMENTS,FRA
954677,8838048,FAST RING,FRA
954679,8838050,FAST FORWARD,FRA
954682,8838053,FASHION LGP,FRA
954689,8838060,Fasanara Investments SA Sicav,FRA
954703,8838074,FARMOP,FRA
954705,8838076,FARMING ROAD SARL,FRA
954723,8838094,FARLARA,FRA
954728,8838099,FARINIA SARL,FRA
954741,8838112,FAREL,FRA
954756,8838127,FAR CORPORATION FINANCES,FRA
954761,8838132,FANTASTICS,FRA
954771,8838142,FANAVENUE,FRA
954774,8838145,FANALONA,FRA
954782,8838153,FAMILLE MICHAUD & CO (FMCO),FRA
954783,8838154,FAMILLE C,FRA
954786,8838157,FAMILIALE LDV,FRA
954797,8838168,Fame,FRA
954802,8838173,FALLON SARL,FRA
954812,8838183,FAKORB,FRA
954819,8838190,FAIRWAYS DE BEAUVALLON,FRA
954844,8838215,FAIENCERIES DE GIEN,FRA
954845,8838216,FAIENCERIE DE PORNIC,FRA
954846,8838217,FAIDHERBE FINANCES,FRA
954848,8838219,FAI PRODUCTION SAS,FRA
954858,8838229,FADUVAL INVEST SCA SICAV FIS,FRA
954859,8838230,FADO,FRA
954860,8838231,FADER AFFUTAGE,FRA
954861,8838232,FADEGEST SA HOLDING,FRA
954862,8838233,FACULTE ETIOPATHIE PARIS,FRA
954863,8838234,FACULTE D ETIOPATHIE DE LYON,FRA
954897,8838268,FABIXIS,FRA
954899,8838270,FABIEN MATERIAUX,FRA
954900,8838271,FABENTECH,FRA
954910,8838281,F3D,FRA
954911,8838282,F2L,FRA
954914,8838285,F2D,FRA
954915,8838286,F2B PACIFIC LOGISTICS,FRA
954916,8838287,F1 DISTRIBUTION,FRA
954920,8838291,F.S.V. MENUISERIE,FRA
954921,8838292,F.R.E.S,FRA
954922,8838293,F.P.I. FRIANT PEINTURE INDUSTRIELLE,FRA
954923,8838294,F.P.HYDRAULIQUE,FRA
954924,8838295,F.P.G.,FRA
954925,8838296,F.P. FOURNIER,FRA
954926,8838297,F.N.S.C.L.,FRA
954927,8838298,F.M.R,FRA
954929,8838300,F.M. INDUSTRIES,FRA
954930,8838301,F.M MANAGEMENT,FRA
954953,8838324,F.G.D,FRA
954954,8838325,F.D.S.,FRA
954955,8838326,F.C.F. FINANCES,FRA
954957,8838328,F.B.I.,FRA
954962,8838333,F.A.J.,FRA
954971,8838342,F. SCHUMACHER & CO FRANCE,FRA
954976,8838347,F&W EXPANSION,FRA
954980,8838351,F TARNOS,FRA
954983,8838354,F M T C,FRA
954988,8838359,F JAMMES SAS,FRA
954997,8838368,EZYFIN SAS,FRA
955016,8838387,EYE TECH CARE,FRA
955017,8838388,EXXEMM,FRA
955018,8838389,EXTRUFLEX DEVELOPPEMENT,FRA
955020,8838391,EXTREMIS ROBOTICS,FRA
955021,8838392,EXTREME LIMITE SARL,FRA
955022,8838393,EXTRAITS VEGETAUX ET DERIVES SS,FRA
955028,8838399,EXPRESSIONS AROMATIQUES,FRA
955030,8838401,EXPRESS HABITAT SAS,FRA
955036,8838407,EXPONANTES,FRA
955038,8838409,EXPO CERAMIQUES,FRA
955047,8838418,EXPLOITATION MAINTENANCE DU GÉNIE,FRA
955049,8838420,EXPERIMENTAL GROUP,FRA
955053,8838424,EXPANSION CENTRES HEMODIALYSE OUEST,FRA
955055,8838426,EXOMETAL,FRA
955062,8838433,EXLABOR AGISSANT TANT POUR SON COMPTE QUE POUR CELUI DE PAVIMENTUM ET DE R&G,FRA
955067,8838438,EXIMIUM ASIA,FRA
955070,8838441,EXHIBIT GROUP,FRA
955072,8838443,EXELTIUM,FRA
955073,8838444,EXELTEC,FRA
955074,8838445,EXEL INDUSTRIES,FRA
955081,8838452,EXCO OMNICONSEILS,FRA
955088,8838459,EXCLUSIVE WINES ESTATES,FRA
955102,8838473,EXCETERRA,FRA
955122,8838493,EXCAMED,FRA
955129,8838500,EXALLOS,FRA
955131,8838502,EXAGONE,FRA
955132,8838503,EXAGON SAS et ses filiales A LEXCLUSION DU GROUPE BRANDT ET,FRA
955133,8838504,EXADIS,FRA
955176,8838547,EVOLUCARE TECHNOLOGIES AG,FRA
955177,8838548,EVOLIS,FRA
955185,8838556,EVIRA GESTION,FRA
955192,8838563,EVERYS SARL,FRA
955212,8838583,EVERBLUE,FRA
955213,8838584,EVERAN,FRA
955219,8838590,EVEN FO,FRA
955238,8838609,EUVRALIA,FRA
955243,8838614,EUROWINCH,FRA
955247,8838618,EUROVENT CERTITA CERTIFICATION,FRA
955248,8838619,EUROVANILLE,FRA
955255,8838626,EUROSYN DEVELOPPEMENT,FRA
955259,8838630,EUROSOFT PLUS,FRA
955260,8838631,EUROSMART GROUP,FRA
955261,8838632,EUROPSERVEM,FRA
955263,8838634,EUROPEENNE DE CONDIMENTS,FRA
955277,8838648,EUROPE SERVICES,FRA
955278,8838649,EUROPE PARTICIPATIONS,FRA
955279,8838650,EUROPE LYON AÏKIDO,FRA
955280,8838651,EUROPE CHASSE PECHE,FRA
955289,8838660,EUROP YPO,FRA
955291,8838662,EUROMETA,FRA
955294,8838665,EUROMAC HOLDING 2,FRA
955307,8838678,EUROGROUP CONSULTING FRANCE,FRA
955308,8838679,EUROGROUP,FRA
955310,8838681,EUROGLASS,FRA
955312,8838683,EUROFOR (EUROPEENNE DE FORMATION) POUR SON  COMPTEET POUR LE COMPTE DE VR CONSULTING,FRA
955313,8838684,EURO-FITTING MANAGEMENT NV tanpour son compte que celui de,FRA
955322,8838693,EUROCENTRES APPRENTISSAGE DES LANGUES EN FRANCE,FRA
955325,8838696,EUROCAE,FRA
955326,8838697,EUROBOIS,FRA
955331,8838702,EURO TRANS CHANET,FRA
955333,8838704,EURO STOCK IMPORT,FRA
955337,8838708,EURO PISCINE SERVICES SARL,FRA
955342,8838713,EURO FINANCES SA POUR SON,FRA
955347,8838718,EURL TS LOCATION,FRA
955348,8838719,EURL SOMOBI,FRA
955349,8838720,EURL ROXXEL,FRA
955350,8838721,EURL ROUMEZIN,FRA
955351,8838722,EURL PHARMACIE DEBARGE PO,FRA
955352,8838723,EURL OLIVIER MAIRE,FRA
955353,8838724,EURL MAGREN,FRA
955354,8838725,EURL IDKIT,FRA
955355,8838726,Eurl Du Cygne Neau Marie Rose,FRA
955356,8838727,EURL DE LECOLE DE SKI DE MERIBEL,FRA
955357,8838728,EURL DAMIEN PINCEDE,FRA
955358,8838729,EURL CARBONNEAUX,FRA
955359,8838730,EURL BONNET,FRA
955360,8838731,EURL BESNARD EMMANUEL TRAVAUX PUBLICS,FRA
955361,8838732,EURL BAUDET BETON,FRA
955362,8838733,EURL ALLBRIDGE TANT POUR SON COMPTE QUE POUR LE COMPTE DE AS TEAM,FRA
955372,8838743,EUREKA FERMETURES,FRA
955375,8838746,EURE ET LOIR HABITAT,FRA
955388,8838759,EUGEN,FRA
955391,8838762,EUFEX,FRA
955393,8838764,Eu Football Club,FRA
955396,8838767,ETS POTHAIN-MOULAGE,FRA
955397,8838768,ETS PIERRE ATHENOUX,FRA
955398,8838769,ETS PEUZIN ET CIE,FRA
955399,8838770,ETS PAUL LAMBERT AGISSANT POUR SON COMPTE ET POURCELUI DE FINANCIÈRE CC ET DE FINANCIÈRE JPS,FRA
955400,8838771,ETS NOTTEAU,FRA
955401,8838772,ETS MOUSSIER SA,FRA
955402,8838773,ETS MAURICE CRUZ-MERMY,FRA
955403,8838774,ETS MARCEL AUGIER,FRA
955404,8838775,ETS LUCAS AGISSANT TANT POUR SON COMPTE QUE POUR CELUI DE LUCAS COMBUSTIBLES,FRA
955405,8838776,ETS LECLERCQ SAS,FRA
955406,8838777,ETS GROSSET BOURBANGE ANDRE ET FILS,FRA
955407,8838778,ETS GODARD,FRA
955408,8838779,ETS GESLER BOUCHERIE GROS,FRA
955409,8838780,ETS GEORGES CHABANY AGISSANT TANT POUR SON COMPTEQUE POUR CELUI DE SAFA,FRA
955410,8838781,ETS FOUREL,FRA
955411,8838782,ETS FAIVRE,FRA
955412,8838783,ETS DUMONTAUX SA,FRA
955413,8838784,ETS DUCASSE-BUZET,FRA
955414,8838785,ETS DIEBOLT,FRA
955415,8838786,ETS D.JACQMIN,FRA
955416,8838787,ETS CRESTEY,FRA
955417,8838788,ETS CORRIHONS PIERRE,FRA
955418,8838789,ETS CONSTANT BOSSI,FRA
955419,8838790,ETS COLRAT,FRA
955420,8838791,ETS CAGNIN ROLAND,FRA
