,Ref_x,Subject,Locale_processed
7932,4301109,Project Greenland,DEU
7936,4301114,Project Futura,DEU
7944,4301123,Project Ericus,DEU
7956,4301136,Project Dare,DEU
7960,4301141,Project Connection,DEU
7961,4301142,Project Como,DEU
7971,4301153,Project CareVision 1,DEU
7982,4301165,Project Blue (MG Tree),DEU
7986,4301169,Project Berlinovo,DEU
7989,4301172,Project Barn (German UK Assets),DEU
7998,4301181,Project ATHI,DEU
8015,4301198,Project Acacia,DEU
8016,4301199,Project ABC Bogen,DEU
8126,4566493,GLOBAL TIP (GERMANY),DEU
8132,4566526,COMBI LIFTS GMBH (GERMANY),DEU
8162,4566616,UNSERE GRÜNE GLASFASER (GERMANY),DEU
8163,4566617,UNSERE GRUNE GLASFASER (GERMANY),DEU
8164,4566618,UNSERE GRUNE GLASFASER (GERMANY),DEU
8237,4566875,MMC NORILSK NICKEL (GERMANY),DEU
8492,4568003,BEETHOVEN (Germany),DEU
22021,5060568,Project Yosemite,DEU
22206,5060756,Project Match,DEU
22351,5060904,Project Connection,DEU
23125,5061892,BASF SE LUDWIGSHAFEN,DEU
23161,5061935,ALLIANZ,DEU
23285,5062152,PROJECT SME EPSILON,DEU
23426,5062316,PROJECT EAGLES TAX,DEU
23429,5062320,PROJECT DIWINE,DEU
23463,5062359,PROJECT ATMOS,DEU
23655,5062694,ALLIANZ,DEU
23656,5062695,ALLIANZ,DEU
23673,5062717,Zollern GmbH & Co. KG,DEU
23674,5062718,Zollern GmbH & Co. KG,DEU
23679,5062723,Zeppelin GmbH,DEU
23687,5062740,WISAG Dienstleistungsholding A G,DEU
23691,5062746,Wilhelm Werhahn KG,DEU
23692,5062747,Wilhelm Werhahn KG,DEU
23693,5062748,Wilhelm Werhahn KG,DEU
23694,5062749,Wilhelm Bötzel GmbH & Co. KG S chrotthandel u. Transporte,DEU
23695,5062750,Wilhelm Bötzel GmbH & Co. KG S chrotthandel u. Transporte,DEU
23699,5062761,Westdeutsche Studiengruppe Gmb H,DEU
23700,5062766,Werner Holding GmbH,DEU
23703,5062771,Wegmann Unternehmens-Holding G mbH & Co. KG,DEU
23704,5062773,Weco Pyrotechnische Fabrik Gmb H,DEU
23705,5062775,Weber Holding GmbH,DEU
23715,5062788,VTG Aktiengesellschaft,DEU
23716,5062789,VTG Aktiengesellschaft,DEU
23720,5062799,VNG-Verbundnetz Gas Aktiengese llschaft Handelshaus,DEU
23721,5062800,Vivawest GmbH,DEU
23722,5062801,Vivawest GmbH,DEU
23723,5062803,Vitesco Technologies GmbH,DEU
23724,5062804,Vitesco Technologies GmbH,DEU
23725,5062805,Vitesco Technologies GmbH,DEU
23726,5062806,Vitesco Technologies GmbH,DEU
23727,5062810,VIEGA GMBH & CO. KG,DEU
23728,5062811,VIEGA GMBH & CO. KG,DEU
23729,5062812,VIEGA GMBH & CO. KG,DEU
23730,5062813,VIEGA GMBH & CO. KG,DEU
23739,5062840,Universitätsmedizin der Johann es Gutenberg Universität Mainz,DEU
23741,5062843,Universitätsklinikum Ulm,DEU
23742,5062844,Universitätsklinikum Tübingen,DEU
