,Ref_x,Subject,Locale_processed
569672,7173617,Rotan GmbH,DEU
569673,7173618,Rosskothen Transporte GmbH,DEU
569676,7173621,Roll Holding GmbH u. Co. KG,DEU
569682,7173627,Robert Bosch GmbH,DEU
569683,7173628,Robert Bosch GmbH,DEU
569684,7173629,Robert Bosch GmbH,DEU
569688,7173633,Ritterwand GmbH und Co. KG Metall-Systembau,DEU
569690,7173635,RIPEG Immobilien GmbH & Co. KG,DEU
569692,7173637,Rinderzuchtverband Berlin-Brandenburg eG,DEU
569705,7173650,RI Invest GmbH & Cie. KG,DEU
569706,7173651,RI Invest GmbH & Cie. KG,DEU
569707,7173652,RI Invest GmbH & Cie. KG,DEU
569708,7173653,RI Invest GmbH & Cie. KG,DEU
569709,7173654,RHÖN-KLINIKUM Aktiengesellschaft,DEU
569711,7173656,RHIEM Packaging & Print GmbH,DEU
569719,7173664,Rettenmaier Familienholding Management GmbH & Co. KG,DEU
569720,7173665,Rettenmaier Familienholding GmbH,DEU
569725,7173670,Restaurant am Chinesischen Turm Haberl GmbH,DEU
569737,7173682,Renate Holding GmbH,DEU
569738,7173683,Renate Holding GmbH,DEU
569746,7173691,Rekular GmbH,DEU
569748,7173693,ReiseBank AG,DEU
569749,7173694,REINKE International GmbH und Co. KG,DEU
569753,7173698,Reederei Baltrum-Linie GmbH,DEU
569760,7173705,Recht Logistik GmbH,DEU
569761,7173706,Recht Kontraktlogistik GmbH,DEU
569783,7173728,Ralf Nitschke,DEU
569797,7173742,RAG Stiftung,DEU
569803,7173748,R + C Seetransport GmbH & Co. KG,DEU
569828,7173773,Qsil SE,DEU
569839,7173784,Qimonda Pension Trust e.V.,DEU
569871,7173816,Purrmann Logistik GmbH,DEU
569887,7173832,Provinzial Holding AG,DEU
569892,7173837,pros4sport Verwaltungs GmbH,DEU
569897,7173842,Prof. Schumann GmbH,DEU
569898,7173843,ProCredit Holding AG,DEU
569899,7173844,ProCredit Holding AG,DEU
569900,7173845,pro-com DATENSYSTEME GmbH,DEU
569901,7173846,Proclane Commerce GmbH,DEU
569913,7173858,PricewaterhouseCoopers GmbH,DEU
569914,7173859,PricewaterhouseCoopers GmbH,DEU
569946,7173891,Porsche Automobil Holding SE,DEU
569949,7173894,Polyplast Müller GmbH,DEU
569980,7173925,Plusultra pharma GmbH,DEU
569982,7173927,Plus 6 Werkzeuge GmbH & Co. KG,DEU
569985,7173930,Plasticon Composites GmbH,DEU
569988,7173933,Planalyze GmbH,DEU
570016,7173961,PHOENIX Pharma SE,DEU
570022,7173967,PHOENIX CONTACT GmbH & Co. KG,DEU
570025,7173970,Pharetra Ges. f. textile Kunststoffanw. mbH & Co. KG,DEU
570034,7173979,Pfeifer & Langen GmbH & Co. KG,DEU
570041,7173986,Peter Kuhnert & Sohn GmbH,DEU
570042,7173987,Peter Kluth (Dr. Seifert AG),DEU
570061,7174006,Pergan Hilfsstoffe für industrielle Prozesse GmbH,DEU
570064,7174009,Pepperl+Fuchs SE,DEU
570065,7174010,Pepperl+Fuchs SE,DEU
570073,7174018,Pensionskasse der Wacker Chemie VVaG,DEU
570074,7174019,Pensionskasse der Wacker Chemie VVaG,DEU
570075,7174020,Pensionskasse der Caritas VVaG,DEU
570082,7174027,PCF GmbH,DEU
570083,7174028,PCC SE,DEU
570091,7174036,PASS Holding GmbH,DEU
570098,7174043,PARS Logistic GmbH,DEU
570111,7174056,P.C.S. Machine Group Holding GmbH,DEU
570112,7174057,P.A. GmbH,DEU
570113,7174058,P. u. P. Feuerschutz und Anlagenbau GmbH,DEU
570117,7174062,OWP Butendiek GmbH & Co. KG,DEU
570121,7174066,Ovesco Endoscopy AG,DEU
570124,7174069,Otto GmbH & Co KG,DEU
570134,7174079,Orpheus HoldCo GmbH,DEU
570211,7174156,Nucleus Capital Fund Management GmbH,DEU
570212,7174157,Nucleus Capital Fund Management GmbH,DEU
570220,7174165,NT Tool Europe GmbH,DEU
570232,7174177,NOSTA Holding GmbH,DEU
570272,7174217,nord logistic nolo Speditionsgesellschaft mbH,DEU
570286,7174231,NOCH GmbH und Co. KG,DEU
570304,7174249,Night Star Express GmbH Logistik,DEU
570337,7174282,Neversa -Dienstleistungen für betriebliche Versorgungssysteme eG,DEU
570338,7174283,Neumonda GmbH,DEU
570339,7174284,NEUMO Armaturenfabrik-Apparatebau- Metallgiesserei GmbH & Co. KG,DEU
570340,7174285,Neuman & Esser Verwaltungs- und Beteiligungsgesellschaft mbH,DEU
570341,7174286,Netzwerk Logistik Mitteldeutschland e.V.,DEU
570356,7174301,NCC Europe GmbH,DEU
570414,7174359,nanotools GmbH,DEU
570419,7174364,NABU-Naturschutzstation Niederrhein e.V.,DEU
570421,7174366,N.H.C. Nölle Holding & Consulting GmbH,DEU
570422,7174367,MYT Netherlands Parent B.V. (mytheresa),DEU
570424,7174369,Mynaric AG,DEU
570426,7174371,MVV Energie AG,DEU
570430,7174375,Musashi Europe GmbH,DEU
570439,7174384,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,DEU
570441,7174386,Multivac Sepp Haggenmüller SE & Co. KG,DEU
570442,7174387,MultiTrans AG,DEU
570457,7174402,Muehlhan Holding GmbH,DEU
570461,7174406,MRK-Systeme GmbH,DEU
570462,7174407,MPDV Microlab GmbH,DEU
570492,7174437,Molecular Machines & Industries GmbH,DEU
570493,7174438,Möhlmann und Teschner Logistik GmbH,DEU
570499,7174444,MKW - Materialkreislauf- und Kompostwirtschaft GmbH und Co. KG,DEU
570500,7174445,MKW - Materialkreislauf- und Kompostwirtschaft GmbH und Co. KG,DEU
570567,7174512,meta4log GmbH,DEU
570581,7174526,Merck KGaA*,DEU
570583,7174528,Mercedes Benz AG,DEU
570588,7174533,Mega Fun Sportwetten GmbH,DEU
570589,7174534,Mega Fun Net X GmbH,DEU
570597,7174542,Median Unternehmensgruppe B.V. & Co. KG,DEU
570598,7174543,media.d.sign GmbH Werbeagentur,DEU
570599,7174544,ME Mayerhofer Elektronik GmbH,DEU
570613,7174558,MBS-Anlage Westerwald GmbH & Co. KG,DEU
570614,7174559,MBO Postpress Solutions GmbH,DEU
570616,7174561,MBB SE,DEU
570621,7174566,Mayer Seubert Umweltservice GmbH,DEU
570624,7174569,Max Schlatterer GmbH & CO. KG,DEU
570628,7174573,Matthias Schindler,DEU
570642,7174587,MARKT-PILOT GmbH,DEU
570644,7174589,Markgräfler Reitverein Buggingen e.V.,DEU
570645,7174590,Market Logic Software AG,DEU
570646,7174591,Marek Hahn (aap Implantate AG),DEU
570653,7174598,Mann + Hummel International GmbH u. Co. KG.,DEU
570671,7174616,MAHLE AG,DEU
570672,7174617,MAG IAS GmbH,DEU
570673,7174618,MAG IAS GmbH,DEU
570703,7174648,Lx Energy Partners GmbH,DEU
570704,7174649,Lx Energy Partners GmbH,DEU
570705,7174650,Lx Energy Partners GmbH,DEU
570706,7174651,Lx Energy Partners GmbH,DEU
570714,7174659,Luxcara Infrastructure GmbH,DEU
570715,7174660,Luxcara Infrastructure GmbH,DEU
570716,7174661,Luxcara Infrastructure GmbH,DEU
570717,7174662,Luxcara Infrastructure GmbH,DEU
570721,7174666,LUKAD Holding GmbH und Co. KG,DEU
570722,7174667,Ludwig Melosch GmbH & Co. KG,DEU
570723,7174668,Ludwig Häberle Logistik GmbH,DEU
570724,7174669,LTS Lohmann Therapie-Systeme AG,DEU
570725,7174670,LSU Schäberle Logistik und Speditions Union GmbH und Co. KG,DEU
570726,7174671,LS Cargo Logistics GmbH,DEU
570730,7174675,Lotter GmbH,DEU
570731,7174676,LOTHEMI GmbH,DEU
570732,7174677,LOTHEMI GmbH,DEU
570743,7174688,Lohnausgleichskasse für das Dachdeckerhandwerk e.V.,DEU
570744,7174689,Lohmann & Rauscher International GmbH and Co KG,DEU
570745,7174690,LOGIPART GmbH,DEU
570746,7174691,LODGEA GmbH,DEU
570764,7174709,Lippok & Wolf GmbH,DEU
570783,7174728,Limehome GmbH,DEU
570784,7174729,Lignum 68 GmbH,DEU
570790,7174735,Lieb GmbH,DEU
570804,7174749,LEONHARD WEISS GmbH & Co. KG,DEU
570805,7174750,Leonda Energie GmbH,DEU
570811,7174756,Lehel Höfe GmbH c/o Athos KG,DEU
570812,7174757,Lehel Höfe GmbH c/o Athos KG,DEU
570823,7174768,Lebensversicherung von 1871 a. G. München,DEU
570845,7174790,Langer-Umzüge GmbH,DEU
570851,7174796,Landeslabor Berlin-Brandenburg AöR,DEU
570863,7174808,LaHeRo GmbH Umzüge & Logistik,DEU
570865,7174810,Labu GmbH & Co. KG,DEU
570871,7174816,L+T Logistik und Transport GmbH,DEU
570873,7174818,L.W. Cretschmar Süd GmbH & Co. KG,DEU
570874,7174819,L.W. Cretschmar GmbH & Co. KG,DEU
570888,7174833,KS-Logistic & Services GmbH & Co. KG,DEU
570890,7174835,Krug GmbH & Co. KG,DEU
570893,7174838,Krones AG,DEU
570894,7174839,KROLL Internationale Spedition GmbH,DEU
570895,7174840,KraussMaffei Technologies GmbH,DEU
570896,7174841,KraussMaffei Group GmbH,DEU
570897,7174842,KraussMaffei Group GmbH,DEU
570904,7174849,Konrad Zippel Spediteur GmbH & Co. KG,DEU
570918,7174863,Kommunale Abfallwirtschaftsgesellschaft des Kreises Warendorf GmbH (AWG Kommunal),DEU
570920,7174865,Kölner Pensionskasse VVaG i. L.,DEU
570923,7174868,Knorr Bremse AG,DEU
570930,7174875,KMD Klinikum der Universität München Dienstleistungs GmbH,DEU
570931,7174876,Klinikum Freising GmbH,DEU
570932,7174877,Klaus Kullmann,DEU
570933,7174878,Klärschlammverwertung Buchenhofen GmbH,DEU
570939,7174884,Kirchlichen Zusatzversorgungskasse des Verbandes der Diözesen Deutschlands (KZVK),DEU
570940,7174885,KION Group,DEU
570946,7174891,Kinderstiftung Josef und Bärbel Englert,DEU
570952,7174897,KG Fidele Fortuna vun 1949 e.V,DEU
570953,7174898,KfW-Bankengruppe,DEU
570954,7174899,Kerschbaum-Haus GmbH,DEU
570955,7174900,Kerschbaum GmbH,DEU
570974,7174919,Kayla Logistics GmbH,DEU
570976,7174921,Käthner & Co. GmbH,DEU
570977,7174922,Kassenärztliche Vereinigung Baden-Württemberg,DEU
570978,7174923,Kashiyama Europe GmbH,DEU
570981,7174926,Karl Marbach GmbH & Co. KG,DEU
570985,7174930,Kao Germany GmbH,DEU
570986,7174931,Kao Germany GmbH,DEU
570988,7174933,Kannegiesser Transport und Lagerhaus GmbH,DEU
570991,7174936,KAMAX Holding GmbH & Co. KG,DEU
570999,7174944,JVCKENWOOD Deutschland GmbH,DEU
571007,7174952,JUMBO TRANSPORT ECKHOFF GmbH,DEU
571009,7174954,ju:niz Energy GmbH,DEU
571020,7174965,Jowat SE,DEU
571026,7174971,Jolly Joker Verwaltungs GmbH,DEU
571027,7174972,Joint HR MR Private Equity GmbH,DEU
571037,7174982,Johann Bunte Bauunternehmung SE & Co. KG,DEU
571038,7174983,"Joh. Berenberg, Gossler & Co. KG",DEU
571039,7174984,Jochen Sautter,DEU
571041,7174986,Jedox GmbH,DEU
571046,7174991,Jaslin GmbH u. Co. KG,DEU
571047,7174992,Jaschek Maschinentransporte GmbH,DEU
571064,7175009,JAB Consumer Fund Management S.à.r.l.,DEU
571065,7175010,JAB Consumer Fund Management S.à.r.l.,DEU
571081,7175026,ITO Global Logistics GmbH,DEU
571082,7175027,ITK Internationales Transport-Kontor GmbH,DEU
571089,7175034,IT4You GmbH & Co. KG,DEU
571131,7175076,IPAI Aleph Alpha Research GmbH,DEU
571160,7175105,inTime Service GmbH,DEU
571203,7175148,Instone Real Estate Group SE,DEU
571205,7175150,institutional investment Partners GmbH (fund real estate value),DEU
571206,7175151,institutional investment Partners GmbH (fund real estate value),DEU
571207,7175152,institutional investment Partners GmbH (fund real estate value),DEU
571208,7175153,institutional investment Partners GmbH (fund real estate value),DEU
571217,7175162,Insellogistik Rügen Hiddensee GmbH,DEU
571221,7175166,ING Holding Deutschland GmbH,DEU
571223,7175168,InfraTec GmbH Infrarotsensorik und Messtechnik,DEU
571237,7175182,InflaRx N.V.,DEU
571254,7175199,Indie semiconductor Germany GmbH,DEU
571262,7175207,INABA-Foods (Europe) GmbH,DEU
571263,7175208,Impex Service GmbH,DEU
571269,7175214,ILS AG,DEU
571271,7175216,ILJIN Motion & Control GmbH,DEU
571272,7175217,ILJIN GmbH,DEU
571278,7175223,Ihorst Beteiligungsgesellschaft mbH & Co. KG,DEU
571284,7175229,IFG Ingolstadt AöR,DEU
571286,7175231,IFB International Freightbridge (Deutschland) GmbH,DEU
571289,7175234,Idee GmbH,DEU
571292,7175237,ICI Holding SE,DEU
571293,7175238,ICI Holding SE,DEU
571303,7175248,IBV Wohnungsunternehmen Erich Ross GmbH u. Co. KG,DEU
571315,7175260,HWA AG,DEU
571320,7175265,Hüttenes-Albertus Chemische Werke GmbH,DEU
571325,7175270,HUK-COBURG Haftpflicht-Unterstützungs-Kasse kraftfahrender Beamter Deutschlands,DEU
571327,7175272,HTL Transportlogistik Gesellschaft für Transportlogistik und Sonderfahrten mbH,DEU
571341,7175286,Hosokawa Alpine AG,DEU
571342,7175287,Horrenberger Spedition und Logistik GmbH,DEU
571343,7175288,Horrenberger Spedition und Logistik GmbH,DEU
571344,7175289,Hornbach Holding AG & Co. KG aA,DEU
571347,7175292,Holzwerk Baumann GmbH,DEU
571348,7175293,HOLTZ OFFICE SUPPORT GmbH,DEU
571349,7175294,HOLOPLOT GmbH,DEU
571352,7175297,Holm Riepenhausen,DEU
571371,7175316,Hirotec Bucher GmbH,DEU
571379,7175324,Hesse Stanzwerkzeuge GmbH,DEU
571380,7175325,Hess Holding GmbH,DEU
571382,7175327,Herolab GmbH Laborgeräte,DEU
571383,7175328,Hermann GmbH Maschinenbautechnologie,DEU
571396,7175341,HENKEL AG & CO KGAA,DEU
571423,7175368,Heinz Prümmer GmbH & Co. KG,DEU
571424,7175369,Heinz Hermann Thiele Familienstiftung (HHTS),DEU
571425,7175370,Heinrich Otto KG (GmbH & CO.),DEU
571426,7175371,Heinrich Dehn intern. Sped. GmbH,DEU
571430,7175375,Heimkreiter GmbH,DEU
571431,7175376,Heike Börnicke,DEU
571433,7175378,Heidelberg Materials AG,DEU
571437,7175382,Health Logistics GmbH,DEU
571438,7175383,heal.capital Management GmbH,DEU
571439,7175384,heal.capital Management GmbH,DEU
571441,7175386,HBT Hölzer Beteiligungen GmbH u. Co KG,DEU
571451,7175396,Havitec GmbH,DEU
571455,7175400,Haßlocher Immobilien GmbH & Co. KG,DEU
571458,7175403,Haselier GmbH & Co. KG,DEU
571473,7175418,Harald Eichhorn,DEU
571475,7175420,Hapag-Lloyd Aktiengesellschaft,DEU
571483,7175428,Hanna-Feinkost AG,DEU
571491,7175436,HAERING GmbH,DEU
571492,7175437,HAAS-LOGISTIC GmbH,DEU
571493,7175438,Haas GmbH & Co. KG,DEU
571494,7175439,H.S. FASHION logistics GmbH,DEU
571496,7175441,H&A Global Investment Management GmbH,DEU
571497,7175442,GVG Holding GmbH & Co. KG,DEU
571529,7175474,Grüne Damen und Herren Evangelische Kranken- und Alten-Hilfe e.V.,DEU
571530,7175475,GrundKapital GmbH,DEU
571557,7175502,Green Line Logistik- und Handelsgesellschaft mbH,DEU
571567,7175512,GRANNEX GmbH & Co. KG,DEU
571568,7175513,GRANNEX GmbH & Co. KG,DEU
571583,7175528,Gothaer Versicherungsbank VVaG,DEU
571584,7175529,Gosselin (Deutschland) GmbH,DEU
571594,7175539,Göllner Spedition GmbH & Co. KG,DEU
571606,7175551,Glycotope GmbH,DEU
571607,7175552,GLOBUS Holding GmbH & Co. KG,DEU
571608,7175553,Globaltrans Internationale Logistik GmbH,DEU
571622,7175567,GLAUCHAU-TRANS Internationale Spedition und Logistik GmbH,DEU
571623,7175568,Glasfabrik Lamberts GmbH & Co. KG,DEU
571624,7175569,Glasfabrik Lamberts GmbH & Co. KG,DEU
571626,7175571,GL Gießerei Lößnitz GmbH,DEU
571627,7175572,GKM Objekt Management GmbH,DEU
571633,7175578,Giesecke+Devrient GmbH,DEU
571637,7175582,GG Road GmbH,DEU
571639,7175584,GfA Lüneburg - gemeinsame kommunale Anstalt des öffentlichen Rechts,DEU
571641,7175586,getaline GmbH,DEU
571643,7175588,Gesellschaft zur Entsorgung von Abfällen Kreis Gütersloh mbH (GEGmbH),DEU
571644,7175589,Gesellschaft der Europahäuser und Europäischen Akademien e.V.,DEU
571645,7175590,Gesellschaft der Europahäuser und Europäischen Akademien e.V.,DEU
571646,7175591,GERRY WEBER International GmbH,DEU
571651,7175596,German LNG Terminal GmbH,DEU
571652,7175597,Gerdts Spedition GmbH,DEU
571657,7175602,Georg von Holtzbrinck GmbH & Co. KG,DEU
571658,7175603,Geoffrey Yates,DEU
571659,7175604,Genossenschaftsverband - Verband der Regionen e. V.,DEU
571660,7175605,Genossenschaftsverband - Verband der Regionen e. V.,DEU
571666,7175611,Gemeindewerke Feucht Holding GmbH,DEU
571672,7175617,Gebr. Roggendorf GmbH,DEU
571673,7175618,Gebrüder Knauf KG,DEU
571676,7175621,GEA Group AG,DEU
571677,7175622,GDP network solutions GmbH,DEU
571684,7175629,Gate41 Logistics GmbH & Co.KG,DEU
571701,7175646,G.Bee GmbH,DEU
571728,7175673,Fuji Europe Corporation GmbH,DEU
571731,7175676,FST GmbH,DEU
571732,7175677,Frye Transport-Logistik GmbH,DEU
571734,7175679,Friz Biochem Holding AG,DEU
571735,7175680,Fritz Dräxlmaier GmbH & Co. KG,DEU
571739,7175684,FRESENIUS,DEU
571740,7175685,Fresenius Medical Care AG,DEU
571741,7175686,Fresenius Medical Care AG,DEU
571742,7175687,Freetime Spielhallen Betriebsgesellschaft mbH,DEU
571746,7175691,Franz-Josef Johann,DEU
571747,7175692,Franz Xaver Meiller Fahrzeug- und Maschinenfabrik GmbH & Co. KG,DEU
571749,7175694,Frank Ackermann,DEU
571753,7175698,Framatome GmbH (Framatome Pension Trust e.V.),DEU
571754,7175699,Framatome GmbH (Framatome Pension Trust e.V.),DEU
571755,7175700,Framatome GmbH (Framatome D.C. Trust e.V.),DEU
571756,7175701,Framatome GmbH (Framatome D.C. Trust e.V.),DEU
571757,7175702,FR L´Osteria SE,DEU
571770,7175715,Forschungs-Gesellschaft Verfahrens-Technik e. V. GVT,DEU
571775,7175720,Förderverein Rollstuhlbasketball Rhein-Main e.V.,DEU
571802,7175747,followfood GmbH,DEU
571815,7175760,Flughafen München GmbH,DEU
571824,7175769,Flexco Europe GmbH,DEU
571829,7175774,Fitshop GmbH,DEU
571830,7175775,Fitshop GmbH,DEU
571831,7175776,FIS HOLDING GmbH & Co. KG,DEU
571884,7175829,Finance in Motion GmbH,DEU
571893,7175838,FIEGE Logistik Holding Stiftung und Co. KG,DEU
571912,7175857,Festausschuss Dellbrücker Dienstagszug e.V.,DEU
571935,7175880,Fashion Chemicals GmbH & Co. KG,DEU
571938,7175883,F und F EuVECA GmbH & Co. KG,DEU
571939,7175884,F und F EuVECA GmbH & Co. KG,DEU
571940,7175885,F und F EuVECA GmbH & Co. KG,DEU
571941,7175886,F und F EuVECA GmbH & Co. KG,DEU
571942,7175887,Exyte GmbH,DEU
571943,7175888,Extremus Versicherungs-AG,DEU
571947,7175892,expectus GmbH,DEU
571950,7175895,EWMR Energie- und Wasserversorgung Mittleres Ruhrgebiet GmbH,DEU
571951,7175896,EW Services GmbH,DEU
571953,7175898,EVONIK Industries AG *,DEU
571956,7175901,Everphone GmbH,DEU
571960,7175905,Evangelische Axenfeld Gesellschaft gGmbH,DEU
571974,7175919,Europäische Akademie Nordrhein-Westfalen e.V.,DEU
571982,7175927,Eurolub GmbH,DEU
571988,7175933,EUROKAI GmbH & Co. KG,DEU
571994,7175939,EUROBAUSTOFF Handelsgesellschaft mbH & Co. KG,DEU
572007,7175952,EUREM International GmbH,DEU
572028,7175973,Eugen Lägler GmbH,DEU
572029,7175974,EUCHNER GmbH,DEU
572030,7175975,ETL GmbH European Transport Line,DEU
572036,7175981,ESGO Entsorgung u. Stadtbeleuchtung GmbH,DEU
572037,7175982,ESG European Shipping (Spedition) GmbH,DEU
572044,7175989,Erste Abwicklungsanstalt,DEU
572048,7175993,Ernst Klett Aktiengesellschaft,DEU
572064,7176009,epsotech Holding GmbH,DEU
572065,7176010,EPOLOG Exportverpackung und Logistik GmbH,DEU
572077,7176022,ENTEGA AG,DEU
572087,7176032,Engler Transfer GmbH,DEU
572090,7176035,ENERGOS Energiewirtschaft Landkreis Osnabrück GmbH,DEU
572095,7176040,Energiekonzepte Deutschland Holding GmbH,DEU
572102,7176047,Encavis Asset Management AG,DEU
572133,7176078,EMCEL GmbH,DEU
572142,7176087,Elektrizitätswerk Ottenhöfen Moser GmbH & Co. KG,DEU
572144,7176089,Elastomer Solutions GmbH,DEU
572146,7176091,ek robotics GmbH,DEU
572147,7176092,Eisenwerk Würth GmbH,DEU
572148,7176093,Eintracht Frankfurt e.V.,DEU
572150,7176095,Eichhorn AG,DEU
572151,7176096,EICHHOLTZ GmbH,DEU
572153,7176098,efn GmbH,DEU
572172,7176117,EEW Pipe Solutions Holding GmbH & Co. KG,DEU
572173,7176118,EEW Pipe Solutions Holding GmbH & Co. KG,DEU
572174,7176119,EEW Energy from Waste GmbH,DEU
572190,7176135,ECU Worldwide (Germany) GmbH,DEU
572194,7176139,EBG group GmbH,DEU
572199,7176144,E.L.F. Hallen-und Maschinenbau GmbH,DEU
572201,7176146,DZ Hyp AG,DEU
572204,7176149,Dynamic Biosensors GmbH,DEU
572205,7176150,Dynamic Biosensors GmbH,DEU
572228,7176173,DRK-Kreisverband Heilbronn e.V.,DEU
572229,7176174,DRK Schwesternschaft Berlin e.V.,DEU
572230,7176175,DRK KV Landau e.V.,DEU
572231,7176176,DRK KV Kaiserslautern Stadt e.V.,DEU
572232,7176177,DRK Kreisverband Südliche Weinstraße e.V.,DEU
572233,7176178,DRK Kreisverband Ludwigsburg e.V.,DEU
572234,7176179,DRK Kreisverband Celle e.V.,DEU
572237,7176182,dreiso GmbH,DEU
572239,7176184,Dr. Wöllner Holding GmbH & Co. KG,DEU
572240,7176185,Dr. Stefan Ziesemer,DEU
572241,7176186,Dr. Seifert - Wilmersdorfer Hochbau AG,DEU
572242,7176187,Dr. Ralf Zander c/o Wirthwein SE,DEU
572243,7176188,Dr. Claudia Ambrosy,DEU
572244,7176189,Dr. Christian Terfloth,DEU
572245,7176190,Dr. Butze GmbH & Co. KG,DEU
572249,7176194,DOUGLAS AG,DEU
572250,7176195,Dornbracht AG & Co. KG,DEU
572255,7176200,Dokumental GmbH u. Co. KG,DEU
572262,7176207,DMS Technologie GmbH,DEU
572264,7176209,DLRG Ortsverband Schwerin e.V.,DEU
572265,7176210,DLRG Ortsgruppe Unna e.V.,DEU
572266,7176211,DLRG Ortsgruppe Oranienburg e.V,DEU
572267,7176212,DLRG Ortsgruppe Ahaus e.V.,DEU
572268,7176213,DLRG Landesverband Berlin e.V.,DEU
572269,7176214,DLRG Kreisverband Mühldorf am Inn e.V.,DEU
572270,7176215,DLRG Kreisverband Mühldorf am Inn e.V.,DEU
572271,7176216,DLRG Bezirk Remscheid e.V.,DEU
572272,7176217,DLRG Bezirk Mühlheim-Ruhr e.V.,DEU
572279,7176224,Dirk Heyner (Dr. Seifert AG),DEU
572283,7176228,Dieter Langer GmbH,DEU
572296,7176241,develop group Holding AG,DEU
572298,7176243,Deutsches Rotes Kreuz Rettungsdienst Vorderpfalz GmbH,DEU
572299,7176244,Deutsches Rotes Kreuz Rettungsdienst Bodensee-Oberschwaben gGmbH,DEU
572300,7176245,Deutsches Rotes Kreuz Landesverband Rheinland Pfalz e.V.,DEU
572301,7176246,Deutsches Rotes Kreuz KV Ahrweiler e.V.,DEU
572302,7176247,Deutsches Rotes Kreuz Kreisverband Rhein-Hunsrück e.V.,DEU
572303,7176248,Deutsches Rotes Kreuz Kreisverband Odenwaldkreis e.V.,DEU
572304,7176249,Deutsches Rotes Kreuz Kreisverband Müllheim e.V.,DEU
572305,7176250,Deutsches Rotes Kreuz Kreisverband Mannheim e.V.,DEU
572306,7176251,Deutsches Rotes Kreuz Kreisverband Mainz-Bingen e.V.,DEU
572307,7176252,Deutsches Rotes Kreuz Kreisverband Groß-Gerau e.V.,DEU
572308,7176253,Deutsches Rotes Kreuz Kreisverband Borken e.V.,DEU
572311,7176256,Deutsche Post AG (DP E-Solutions),DEU
572312,7176257,"Deutsche Post AG and their associated, affiliated, and subsidiary companies and all other organisati",DEU
572313,7176258,"Deutsche Post AG and their associated, affiliated, and subsidiary companies and all other organisati",DEU
572314,7176259,"Deutsche Post AG and their associated, affiliated, and subsidiary companies and all other organisati",DEU
572315,7176260,"Deutsche Post AG and their associated, affiliated, and subsidiary companies and all other organisati",DEU
572316,7176261,"Deutsche Post AG and their associated, affiliated, and subsidiary companies and all other organisati",DEU
572320,7176265,Deutsche Lebens-Rettungs-Gesellschaft e.V.,DEU
572321,7176266,Deutsche Grundstücksauktionen AG,DEU
572322,7176267,DEUTSCHE BORSE AG,DEU
572323,7176268,Deutsche Bank Aktiengesellschaft,DEU
572324,7176269,Deutsche Bank Aktiengesellschaft,DEU
572325,7176270,Deutsche Bank Aktiengesellschaft,DEU
572326,7176271,Deutsche Bank Aktiengesellschaft,DEU
572327,7176272,Deutsche Bank Aktiengesellschaft,DEU
572328,7176273,Deutsche Bank Aktiengesellschaft,DEU
572330,7176275,Deutsche Apotheker- und Ärztebank eG,DEU
572331,7176276,Detmers Getreide-Vollwertkost GmbH,DEU
572345,7176290,Delta Trading GmbH Metallhandel,DEU
572353,7176298,DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V.,DEU
572374,7176319,Daniela Eichhorn,DEU
572380,7176325,DAIMLER TRUCKS HOLDING AG,DEU
572381,7176326,DAIFUKU Co. Ltd. German Branch,DEU
572397,7176342,CureVac NV,DEU
572402,7176347,CTEC I GmbH,DEU
572403,7176348,CTEC I GmbH,DEU
572407,7176352,Crush MidCo GmbH,DEU
572408,7176353,Crush MidCo GmbH,DEU
572454,7176399,Covestro AG,DEU
572494,7176439,Contraf-Nicotex-Tobacco GmbH,DEU
572495,7176440,Conti-Trans Speditionsgesellschaft mbH,DEU
572497,7176442,Container Terminal Osnabrück GmbH,DEU
572501,7176446,confern Möbeltransportbetriebe GmbH,DEU
572502,7176447,Comtronic GmbH Anzeige- & Bedientechnologie,DEU
572561,7176506,Codesys Holding GmbH,DEU
572571,7176516,CMP Cologne GmbH,DEU
572604,7176549,Cleversoft HoldCo GmbH,DEU
572630,7176575,City Air Terminal Luftreisebüro GmbH (CAT),DEU
572642,7176587,CIG Deutschland GmbH & Co. KG,DEU
572668,7176613,Cheplapharm SE,DEU
572669,7176614,Cheplapharm SE,DEU
572670,7176615,Chemra GmbH,DEU
572725,7176670,CCS Content Conversion Specialists GmbH,DEU
572734,7176679,CCI Manufacturing Germany GmbH,DEU
572735,7176680,CC - Pharma GmbH,DEU
572755,7176700,CARGOTRANS (Bremen) GmbH,DEU
572756,7176701,Cargomar GmbH,DEU
572758,7176703,Carboref GmbH,DEU
572776,7176721,CANCOM SE,DEU
572822,7176767,CADFEM Germany GmbH,DEU
572830,7176775,C.H. Boehringer Sohn,DEU
572831,7176776,C.H. Boehringer Sohn,DEU
572845,7176790,Bürgerstiftung Bruno Helms,DEU
572852,7176797,Bundesverband Deutscher Verwaltungs- und Wirtschafts- Akademien e.V.,DEU
572853,7176798,Bundesdruckerei Gruppe GmbH,DEU
572854,7176799,Bundesanstalt für Immobilienaufgaben,DEU
572855,7176800,BUND LV Baden Württemberg e.V.,DEU
572869,7176814,"Brose Fahrzeugteile SE & CO. Kommanditgesellschaft, Coburg",DEU
572920,7176865,bofrost Dienstleistungs GmbH und Co. KG,DEU
